air_temperature,surface_temperature,soil_temperature,vpd,shortwave_incoming,longwave_incoming,albedo,soil_volumetric_water_content,NDVI,FSCA,co2_flux_filtered,ch4_flux_filtered,palsa,ponds,fen,date,time
21.26017502777777,17.38254011111112,14.29123761111113,1.8708750496261293,220.6189297222224,301.93446777777746,0.1634235687820492,0.2838362857739557,0.459888,0.005676,0.6327260174550461,0.0120506924954379,0.614171187725,0.00406227396204,0.38176653831296,2020-06-13,17:30:00
16.012332444444432,9.978662755555554,9.591355472222224,1.1340704502038896,50.09723099999997,302.38896583333343,0.1427661531327413,0.2872076632874023,0.4741359999999999,0.004748,0.6476115113362133,0.0081143187673836,0.402050810248,0.171313054059,0.4266361356929999,2020-06-14,00:30:00
16.416712750000002,10.85603488888889,10.240885749999997,1.1408482079693518,102.91680900000004,301.7001336111108,0.1427661531327413,0.2872177062559337,0.4741359999999999,0.004748,0.3625942638045897,0.0157720408041876,0.406534347864,0.14899961225,0.444466039886,2020-06-14,01:00:00
17.856738138888886,14.733317888888884,11.64462647222222,1.179029846061979,192.03784083333343,312.8260758333332,0.1427661531327413,0.2867269641842769,0.4741359999999999,0.004748,0.1424796640067361,0.0153314209706755,0.5468119909820001,0.150478067512,0.3027099415059999,2020-06-14,04:00:00
20.022926138888884,20.12662508333332,13.88114058333334,1.455148309437656,388.4458455555557,339.82827666666674,0.1427661531327413,0.2847297817254249,0.4741359999999999,0.004748,-0.1760571797379478,0.0169408064304062,0.769419527736,0.0139250456363,0.2166554266277,2020-06-14,06:30:00
20.912374916666668,23.81477541666665,15.422617000000004,1.6249583445216476,429.8031399999997,370.0245705555553,0.1427661531327413,0.2809768580376833,0.4741359999999999,0.004748,0.0443890766747366,0.0123846501560695,0.5919515898300001,0.107853050151,0.3001953600189999,2020-06-14,10:00:00
11.007228166666666,17.923083583333344,10.331352583333334,0.697464323908016,661.5824475000003,267.47443944444444,0.153854487948599,0.2758994101903885,0.500188,0.003196,-0.4301114639737344,0.0320655856365229,0.578085685621,0.0015661567675399,0.42034815761146,2020-06-16,12:30:00
11.132743388888892,17.770113222222236,10.412235861111112,0.7167362153819561,628.174788888889,267.7161919444444,0.153854487948599,0.2757892267560462,0.500188,0.003196,-0.2811204976467987,0.0364513006686272,0.553776291258,0.00446815955353,0.44175554918847,2020-06-16,13:00:00
10.216083444444443,11.655617861111116,9.20949069444444,0.582744808054339,218.88975499999984,270.5995361111109,0.153854487948599,0.2731675716895841,0.500188,0.003196,0.188619531687254,0.0199414406373924,0.406201495653,0.0007381131797989,0.5930603911672011,2020-06-16,17:30:00
9.052531308333329,8.967841780555561,8.286824361111107,0.4873503545690292,144.83869499999986,264.13130083333334,0.153854487948599,0.2733137219562312,0.500188,0.003196,0.3109574054479225,0.0421722646451741,0.406438540662,0.000648561366715,0.592912897971285,2020-06-16,18:30:00
8.093753558333335,7.309619688888887,7.600962411111111,0.4173820945151423,91.70062549999996,260.24584888888904,0.153854487948599,0.273492330603051,0.500188,0.003196,0.4057273870384164,0.0610791641113508,0.371911625565,0.000615107374381,0.627473267060619,2020-06-16,19:00:00
6.582538111111113,4.109935055555557,5.572164202777778,0.3239053060971933,23.82095672222224,257.53354249999967,0.153854487948599,0.2739226487931054,0.500188,0.003196,0.5592763662446115,0.0305256547919007,0.355727813576,0.0018075992675699,0.6424645871564301,2020-06-16,20:00:00
16.91320658333335,15.09379533333334,12.811085972222214,1.0855745986781984,140.71708444444445,298.57493694444474,0.171668229857151,0.2653360186728541,0.5122599999999999,0.002456,0.2452554227393629,0.0261767933852366,0.4301235634749999,0.0184029110591,0.5514735254659001,2020-06-17,18:30:00
14.49475283333333,11.02125066666667,10.614349083333328,0.8500347968282961,59.03259919444444,293.32562472222213,0.171668229857151,0.2654719796507684,0.5122599999999999,0.002456,0.5221250517703189,0.0155554494937593,0.488495474185,0.0174974031895,0.4940071226254999,2020-06-17,20:00:00
13.974246250000007,9.999062688888891,9.591143138888894,0.8236431935752669,29.47355530555557,304.99651083333345,0.171668229857151,0.2657312651216791,0.5122599999999999,0.002456,0.5230999975338669,0.0069253371862522,0.528282226382,0.0218357232916,0.4498820503264,2020-06-17,20:30:00
